X1	X2	X3	X4	X5	X6	X7
-0.058948	0.074112	-0.039450	-0.051610	-0.192047	-0.165333	-0.145453
-0.041557	0.074384	-0.048760	-0.074237	-0.191487	-0.158665	-0.122785
-0.010076	0.074758	-0.063771	-0.113120	-0.188202	-0.145137	-0.080655
0.029498	0.074908	-0.078277	-0.157014	-0.178559	-0.124604	-0.025006
0.069588	0.074369	-0.085236	-0.192461	-0.158673	-0.097349	0.036355
0.102428	0.072563	-0.078836	-0.206998	-0.125822	-0.064506	0.094879
0.121489	0.068850	-0.056326	-0.192179	-0.079693	-0.028347	0.142486
0.122669	0.062579	-0.019128	-0.145713	-0.023101	0.007684	0.172669
0.105027	0.053165	0.027086	-0.072245	0.038035	0.039264	0.181332
0.070933	0.040183	0.073415	0.017423	0.095511	0.061802	0.167262
0.025611	0.023476	0.109645	0.108482	0.140317	0.071264	0.132168
-0.023827	0.003270	0.126622	0.185170	0.164467	0.065054	0.080327
-0.069677	-0.019729	0.118526	0.234038	0.162770	0.042740	0.017907
-0.105011	-0.044266	0.084486	0.246711	0.134153	0.006454	-0.047917
-0.124872	-0.068531	0.029131	0.221550	0.082191	-0.039181	-0.109901
-0.127082	-0.090245	-0.038096	0.163859	0.014717	-0.087602	-0.161609
-0.112506	-0.106843	-0.104758	0.084630	-0.057460	-0.131296	-0.198106
-0.084766	-0.115765	-0.157977	-0.001866	-0.122465	-0.163027	-0.216404
-0.049456	-0.114836	-0.187172	-0.081074	-0.169526	-0.177086	-0.215643
-0.013030	-0.102670	-0.186366	-0.141056	-0.190930	-0.170307	-0.196996
0.018411	-0.079066	-0.155514	-0.174667	-0.183379	-0.142644	-0.163372
0.040207	-0.045287	-0.100568	-0.180545	-0.148459	-0.097173	-0.118945
0.049896	-0.004165	-0.032220	-0.162748	-0.092140	-0.039526	-0.068613
0.047507	0.040024	0.036391	-0.129206	-0.023429	0.023146	-0.017426
0.035363	0.081964	0.092505	-0.089389	0.047506	0.083470	0.029944
0.017446	0.115919	0.126475	-0.051803	0.111342	0.135142	0.069644
-0.001531	0.136545	0.133795	-0.021923	0.161288	0.173945	0.098964
-0.017142	0.139747	0.115977	-0.001054	0.194106	0.198311	0.116515
-0.026148	0.123444	0.080063	0.013626	0.210286	0.209294	0.122258
-0.027110	0.088105	0.036923	0.027879	0.213354	0.210004	0.117378
-0.020602	0.036931	-0.001311	0.048407	0.208544	0.204627	0.104042
-0.008982	-0.024413	-0.024064	0.080550	0.201164	0.197259	0.085040
0.004194	-0.088472	-0.024761	0.126288	0.195056	0.190835	0.063390
0.015000	-0.147049	-0.002357	0.183066	0.191548	0.186380	0.041932
0.020021	-0.192434	0.038412	0.243762	0.189122	0.182761	0.022985
0.017106	-0.218634	0.088086	0.297859	0.183882	0.177001	0.008099
0.005851	-0.222373	0.134617	0.333571	0.170706	0.165066	-0.002048
-0.012307	-0.203677	0.166101	0.340457	0.144779	0.142978	-0.007608
-0.034360	-0.165908	0.173481	0.311917	0.103135	0.107972	-0.009388
-0.056335	-0.115220	0.152643	0.247002	0.045815	0.059451	-0.008592
-0.074081	-0.059517	0.105411	0.151088	-0.023652	-0.000492	-0.006517
-0.084091	-0.007095	0.039262	0.035250	-0.098592	-0.067108	-0.004283
-0.084182	0.034804	-0.034196	-0.085566	-0.170284	-0.133603	-0.002643
-0.073913	0.061221	-0.101632	-0.195200	-0.229601	-0.192207	-0.001908
-0.054656	0.070278	-0.150742	-0.279200	-0.268801	-0.235493	-0.001982
-0.029321	0.063369	-0.172776	-0.327400	-0.283076	-0.257675	-0.002503
-0.001796	0.044693	-0.164266	-0.335623	-0.271505	-0.255642	-0.003025
0.023779	0.020237	-0.127640	-0.306177	-0.237182	-0.229504	-0.003184
0.043761	-0.003609	-0.070584	-0.247067	-0.186495	-0.182560	-0.002816
0.055628	-0.021493	-0.004339	-0.170141	-0.127709	-0.120709	-0.001963
0.058375	-0.030310	0.058682	-0.088578	-0.069195	-0.051420	-0.000797
0.052614	-0.029888	0.107444	-0.014294	-0.017689	0.017519	0.000539
0.040374	-0.022998	0.134449	0.044211	0.022992	0.079222	0.002096
0.024662	-0.014659	0.137083	0.083124	0.052513	0.128675	0.004238
0.008880	-0.010867	0.117885	0.103496	0.073711	0.163277	0.007658
-0.003787	-0.017004	0.083744	0.110370	0.091512	0.182896	0.013253
-0.010898	-0.036285	0.044221	0.111096	0.111328	0.189460	0.021881
-0.011108	-0.068594	0.009405	0.113277	0.137331	0.186217	0.034026
-0.004295	-0.109988	-0.012251	0.122813	0.171015	0.176847	0.049481
0.008525	-0.153049	-0.015637	0.142473	0.210421	0.164625	0.067119
0.025479	-0.188051	0.000065	0.171275	0.250228	0.151804	0.084863
0.044217	-0.204756	0.031367	0.204766	0.282713	0.139324	0.099880
0.062336	-0.194494	0.071344	0.236089	0.299397	0.126878	0.109018
0.077748	-0.152108	0.111144	0.257543	0.293005	0.113266	0.109416
0.088956	-0.077354	0.141826	0.262270	0.259304	0.096929	0.099160
0.095190	0.024581	0.156115	0.245699	0.198383	0.076511	0.077855
0.096415	0.143570	0.149744	0.206451	0.115056	0.051318	0.046948
0.093226	0.266026	0.122149	0.146551	0.018284	0.021564	0.009716
0.086666	0.377089	0.076427	0.070976	-0.080322	-0.011627	-0.029143
0.078020	0.463133	0.018615	-0.013327	-0.168600	-0.046429	-0.064261
0.068595	0.514081	-0.043515	-0.098682	-0.236111	-0.080683	-0.090572
0.059539	0.525104	-0.101896	-0.177908	-0.276109	-0.112291	-0.104316
0.051695	0.497324	-0.149551	-0.245292	-0.286781	-0.139559	-0.103858
0.045488	0.437411	-0.181691	-0.297146	-0.271502	-0.161397	-0.090141
0.040867	0.356139	-0.196361	-0.331919	-0.238023	-0.177359	-0.066641
0.037283	0.266210	-0.194564	-0.349927	-0.196793	-0.187539	-0.038796
0.033714	0.179788	-0.179892	-0.352845	-0.158734	-0.192371	-0.013009
0.028759	0.106267	-0.157771	-0.343127	-0.132964	-0.192435	0.004612
0.020788	0.050720	-0.134455	-0.323500	-0.124925	-0.188301	0.009507
0.008175	0.013352	-0.115954	-0.296614	-0.135317	-0.180494	-0.000350
-0.010417	-0.009958	-0.107035	-0.264882	-0.160036	-0.169542	-0.023937
-0.035712	-0.026159	-0.110433	-0.230439	-0.191122	-0.156098	-0.057296
-0.067522	-0.042940	-0.126366	-0.195149	-0.218502	-0.141046	-0.094241
-0.104513	-0.066532	-0.152417	-0.160581	-0.232150	-0.125533	-0.127558
-0.144131	-0.099910	-0.183792	-0.127893	-0.224211	-0.110864	-0.150445
-0.182703	-0.141817	-0.213944	-0.097656	-0.190652	-0.098262	-0.157896
-0.215773	-0.186858	-0.235510	-0.069658	-0.132122	-0.088521	-0.147749
-0.238630	-0.226655	-0.241447	-0.042811	-0.053863	-0.081649	-0.121149
-0.246994	-0.251823	-0.226242	-0.015245	0.035268	-0.076609	-0.082340
-0.237740	-0.254326	-0.187021	0.015337	0.124438	-0.071275	-0.037808
-0.209559	-0.229680	-0.124361	0.051073	0.202784	-0.062673	0.005046
-0.163412	-0.178492	-0.042643	0.093207	0.261256	-0.047514	0.039429
-0.102676	-0.106927	0.050186	0.141371	0.294013	-0.022955	0.060548
-0.032912	-0.025976	0.143486	0.193098	0.299130	0.012565	0.066573
0.038733	0.050394	0.225364	0.243734	0.278537	0.058588	0.058972
0.104437	0.107848	0.284500	0.286874	0.237276	0.112220	0.042135
0.156795	0.134527	0.312092	0.315309	0.182297	0.168163	0.022374
0.189916	0.123526	0.303554	0.322353	0.121097	0.219295	0.006511
0.200344	0.074482	0.259647	0.303321	0.060486	0.257737	0.000366
0.187638	-0.006087	0.186764	0.256808	0.005734	0.276257	0.007458
0.154497	-0.105798	0.096237	0.185500	-0.039803	0.269760	0.028216
0.106393	-0.208584	0.002698	0.096244	-0.074567	0.236547	0.059855
0.050758	-0.297631	-0.078270	-0.000697	-0.098325	0.179080	0.096941
-0.004144	-0.358481	-0.132794	-0.093141	-0.111548	0.104014	0.132536
