Direction,Rank,Source,Target,SourceIndex,TargetIndex,ASD_mean,TC_mean,Difference,AbsoluteDifference
ASD_enhanced,1,Caudate_R,Thalamus_R,72,78,0.012830736400145624,0.012271177365673387,0.000559559034472237,0.000559559034472237
ASD_enhanced,2,Paracentral_Lobule_R,Postcentral_L,70,57,0.012451400291811451,0.011937742514383261,0.0005136577774281902,0.0005136577774281902
ASD_enhanced,3,Postcentral_L,Paracentral_Lobule_R,57,70,0.012483326413740333,0.011979052001984776,0.0005042744117555575,0.0005042744117555575
ASD_enhanced,4,Postcentral_R,Postcentral_L,58,57,0.014411161351216655,0.013915240515032713,0.0004959208361839419,0.0004959208361839419
ASD_enhanced,5,Postcentral_L,Postcentral_R,57,58,0.014381925768465696,0.013903060091414463,0.000478865677051233,0.000478865677051233
ASD_enhanced,6,Cingulum_Post_R,Thalamus_R,36,78,0.012174539769498201,0.01169595868550888,0.0004785810839893212,0.0004785810839893212
ASD_enhanced,7,Thalamus_R,Caudate_R,78,72,0.012984466064387025,0.012520689404021866,0.0004637766603651592,0.0004637766603651592
ASD_enhanced,8,Frontal_Med_Orb_R,Precuneus_R,26,68,0.01227265033019213,0.011809515722890941,0.00046313460730118897,0.00046313460730118897
ASD_enhanced,9,Thalamus_R,Cingulum_Post_R,78,36,0.012220347564842584,0.011789973494746992,0.0004303740700955915,0.0004303740700955915
ASD_enhanced,10,Cingulum_Post_R,Cingulum_Post_L,36,35,0.014522275941159863,0.014095436790888718,0.0004268391502711445,0.0004268391502711445
