Direction,Rank,Source,Target,SourceIndex,TargetIndex,ASD_mean,TC_mean,Difference,AbsoluteDifference
ASD_diminished_TC_enhanced,1,Thalamus_L,Temporal_Sup_L,77,81,0.011158477899053285,0.011564335767318386,-0.00040585786826510123,0.00040585786826510123
ASD_diminished_TC_enhanced,2,Thalamus_R,Temporal_Sup_R,78,82,0.010829713301032655,0.011234941940856336,-0.0004052286398236807,0.0004052286398236807
ASD_diminished_TC_enhanced,3,Thalamus_R,Temporal_Mid_R,78,86,0.01060303962096954,0.010993390214668757,-0.00039035059369921764,0.00039035059369921764
ASD_diminished_TC_enhanced,4,Thalamus_R,Temporal_Sup_L,78,81,0.010731222747793246,0.011115291775215795,-0.0003840690274225494,0.0003840690274225494
ASD_diminished_TC_enhanced,5,Temporal_Sup_R,Thalamus_R,82,78,0.010929996551722925,0.011312717079617101,-0.0003827205278941759,0.0003827205278941759
ASD_diminished_TC_enhanced,6,Occipital_Sup_R,Calcarine_R,50,44,0.013368929547265682,0.013747217556549509,-0.0003782880092838264,0.0003782880092838264
ASD_diminished_TC_enhanced,7,Temporal_Sup_L,Thalamus_R,81,78,0.01084284322996998,0.011220812829900024,-0.0003779695999300437,0.0003779695999300437
ASD_diminished_TC_enhanced,8,Calcarine_R,Occipital_Sup_R,44,50,0.013397027244870989,0.013774293872340589,-0.00037726662746959995,0.00037726662746959995
ASD_diminished_TC_enhanced,9,Temporal_Sup_L,Thalamus_L,81,77,0.011246483774983093,0.011611455681712988,-0.0003649719067298947,0.0003649719067298947
ASD_diminished_TC_enhanced,10,Thalamus_R,Temporal_Mid_L,78,85,0.010407447797031356,0.010770405515584697,-0.00036295771855334065,0.00036295771855334065
