Direction,Rank,Source,Target,SourceIndex,TargetIndex,ASD_mean,TC_mean,Difference,AbsoluteDifference
ASD_enhanced,1,ROI_072,ROI_078,71,77,0.012830736400145624,0.012271177365673387,0.000559559034472237,0.000559559034472237
ASD_enhanced,2,ROI_070,ROI_057,69,56,0.012451400291811451,0.011937742514383261,0.0005136577774281902,0.0005136577774281902
ASD_enhanced,3,ROI_057,ROI_070,56,69,0.012483326413740333,0.011979052001984776,0.0005042744117555575,0.0005042744117555575
ASD_enhanced,4,ROI_058,ROI_057,57,56,0.014411161351216655,0.013915240515032713,0.0004959208361839419,0.0004959208361839419
ASD_enhanced,5,ROI_057,ROI_058,56,57,0.014381925768465696,0.013903060091414463,0.000478865677051233,0.000478865677051233
ASD_enhanced,6,ROI_036,ROI_078,35,77,0.012174539769498201,0.01169595868550888,0.0004785810839893212,0.0004785810839893212
ASD_enhanced,7,ROI_078,ROI_072,77,71,0.012984466064387025,0.012520689404021866,0.0004637766603651592,0.0004637766603651592
ASD_enhanced,8,ROI_026,ROI_068,25,67,0.01227265033019213,0.011809515722890941,0.00046313460730118897,0.00046313460730118897
ASD_enhanced,9,ROI_078,ROI_036,77,35,0.012220347564842584,0.011789973494746992,0.0004303740700955915,0.0004303740700955915
ASD_enhanced,10,ROI_036,ROI_035,35,34,0.014522275941159863,0.014095436790888718,0.0004268391502711445,0.0004268391502711445
TC_enhanced,1,ROI_077,ROI_081,76,80,0.011158477899053285,0.011564335767318386,-0.00040585786826510123,0.00040585786826510123
TC_enhanced,2,ROI_078,ROI_082,77,81,0.010829713301032655,0.011234941940856336,-0.0004052286398236807,0.0004052286398236807
TC_enhanced,3,ROI_078,ROI_086,77,85,0.01060303962096954,0.010993390214668757,-0.00039035059369921764,0.00039035059369921764
TC_enhanced,4,ROI_078,ROI_081,77,80,0.010731222747793246,0.011115291775215795,-0.0003840690274225494,0.0003840690274225494
TC_enhanced,5,ROI_082,ROI_078,81,77,0.010929996551722925,0.011312717079617101,-0.0003827205278941759,0.0003827205278941759
TC_enhanced,6,ROI_050,ROI_044,49,43,0.013368929547265682,0.013747217556549509,-0.0003782880092838264,0.0003782880092838264
TC_enhanced,7,ROI_081,ROI_078,80,77,0.01084284322996998,0.011220812829900024,-0.0003779695999300437,0.0003779695999300437
TC_enhanced,8,ROI_044,ROI_050,43,49,0.013397027244870989,0.013774293872340589,-0.00037726662746959995,0.00037726662746959995
TC_enhanced,9,ROI_081,ROI_077,80,76,0.011246483774983093,0.011611455681712988,-0.0003649719067298947,0.0003649719067298947
TC_enhanced,10,ROI_078,ROI_085,77,84,0.010407447797031356,0.010770405515584697,-0.00036295771855334065,0.00036295771855334065
