Source,Target,ASD_mean,TC_mean,Difference
AAL_036,AAL_078,0.01280241205683376,0.012325217741687156,0.0004771943151466052
AAL_078,AAL_036,0.012439270953560231,0.012026024448498158,0.0004132465050620728
AAL_078,AAL_072,0.012837135145424778,0.012433930584425962,0.00040320456099881587
AAL_078,AAL_077,0.013321863668453362,0.012921944644218935,0.0003999190242344273
AAL_072,AAL_078,0.013606576551484246,0.01320853524335265,0.00039804130813159665
AAL_057,AAL_070,0.012160185382215895,0.011801017725622979,0.00035916765659291597
AAL_036,AAL_035,0.014211933253906094,0.013862496923664515,0.0003494363302415787
AAL_086,AAL_038,0.011246685195379915,0.011584765566674711,-0.0003380803712947963
AAL_057,AAL_058,0.013272397329585038,0.012934815903510852,0.00033758142607418634
AAL_077,AAL_078,0.012476048989492094,0.012148707631337583,0.00032734135815451135
AAL_070,AAL_057,0.011816511436118783,0.011489467651446907,0.0003270437846718769
AAL_088,AAL_087,0.012844072885683969,0.013169686735212507,-0.00032561384952853843
AAL_076,AAL_078,0.012594845052410522,0.012270101822136205,0.0003247432302743176
AAL_076,AAL_072,0.012665091436674707,0.012342524033030565,0.0003225674036441417
AAL_078,AAL_076,0.012898142714228513,0.012578442350732482,0.00031970036349603104
AAL_086,AAL_078,0.010843342245739495,0.011160194014127437,-0.00031685176838794175
AAL_078,AAL_021,0.011682727175135897,0.01136982117412108,0.00031290600101481665
AAL_069,AAL_057,0.012818213948247652,0.012509620646777431,0.0003085933014702214
AAL_088,AAL_038,0.011562415269306965,0.011863377342744737,-0.0003009620734377716
AAL_075,AAL_074,0.013061505509540439,0.012761599989723479,0.0002999055198169599
AAL_078,AAL_071,0.0125687808299867,0.012273367126899824,0.0002954137030868765
AAL_058,AAL_057,0.01270063595376654,0.01240648539556611,0.0002941505582004303
AAL_074,AAL_075,0.01295731271792235,0.012663493187122841,0.00029381953079950923
AAL_081,AAL_078,0.010564532509057695,0.010850503130194271,-0.0002859706211365762
AAL_036,AAL_076,0.012067174208629081,0.011782783626696608,0.0002843905819324734
AAL_082,AAL_078,0.010499005880541144,0.010782516399680385,-0.000283510519139241
AAL_081,AAL_077,0.010837174158017987,0.011119273375655079,-0.0002820992176370916
AAL_068,AAL_026,0.011777737892320396,0.011497948325652787,0.00027978956666760944
AAL_080,AAL_078,0.010806092005382236,0.01108513602168847,-0.00027904401630623327
AAL_057,AAL_069,0.01269078826229287,0.012412733148792689,0.00027805511350018075
AAL_036,AAL_072,0.012526989174194826,0.012249221380513448,0.0002777677936813775
AAL_088,AAL_014,0.01051200688498206,0.010784924416236635,-0.0002729175312545743
AAL_088,AAL_042,0.011305191593929233,0.01157731051203187,-0.00027211891810263733
AAL_026,AAL_068,0.011554385177217998,0.011284073119146504,0.0002703120580714938
AAL_078,AAL_035,0.012138759184023764,0.011868615729489338,0.0002701434545344262
AAL_079,AAL_078,0.011371798775532944,0.011641123523894079,-0.0002693247483611348
AAL_035,AAL_036,0.014223713013860915,0.013955858101601487,0.0002678549122594274
AAL_036,AAL_077,0.011961208652450234,0.011693752648091641,0.0002674560043585926
AAL_085,AAL_078,0.010445452084303157,0.010709895805522762,-0.0002644437212196045
AAL_072,AAL_077,0.012467387349257229,0.012207761439252136,0.0002596259100050933
AAL_077,AAL_072,0.011160040469282968,0.010901046660324333,0.0002589938089586352
AAL_085,AAL_077,0.010632050446529165,0.0108887013279031,-0.00025665088137393453
AAL_072,AAL_036,0.0126953402088366,0.012439713286462404,0.00025562692237419624
AAL_088,AAL_090,0.011749159492966201,0.012003887139685988,-0.00025472764671978683
AAL_072,AAL_071,0.014251504634690082,0.013997511351226873,0.00025399328346320874
AAL_076,AAL_075,0.012455523857830936,0.012203772270372577,0.00025175158745835945
AAL_076,AAL_077,0.012255262690954484,0.012005628759120002,0.00024963393183448195
AAL_009,AAL_089,0.01180412058527462,0.011555742793635606,0.00024837779163901404
AAL_038,AAL_086,0.0111272504262658,0.011374548345656313,-0.00024729791939051213
AAL_078,AAL_022,0.011596140610929737,0.011348864717626247,0.00024727589330349013
AAL_079,AAL_077,0.011634677909235032,0.011878422253462428,-0.00024374434422739545
AAL_072,AAL_076,0.013712882096122982,0.013469215343814926,0.00024366675230805615
AAL_088,AAL_074,0.010778514361884603,0.011022049741861098,-0.0002435353799764943
AAL_036,AAL_032,0.012441753413782924,0.012199665565348737,0.0002420878484341877
AAL_086,AAL_014,0.011063940793228073,0.011302857916275265,-0.00023891712304719218
AAL_014,AAL_024,0.010805613383189099,0.011044470084918935,-0.00023885670172983653
AAL_014,AAL_028,0.010499384506947847,0.010737858772758515,-0.00023847426581066755
AAL_021,AAL_078,0.011202110992505765,0.010964691486422241,0.00023741950608352318
AAL_076,AAL_036,0.011424928344388166,0.011187716590578,0.0002372117538101664
AAL_078,AAL_032,0.012065128096912662,0.011829328977458973,0.00023579911945368834
AAL_078,AAL_031,0.011831097450091416,0.011596031422280792,0.00023506602781062438
AAL_063,AAL_018,0.012929547391035873,0.012694730014348444,0.00023481737668742952
AAL_028,AAL_014,0.010209758684405277,0.010444357956553955,-0.00023459927214867886
AAL_086,AAL_077,0.010812833230608167,0.011046809352305776,-0.0002339761216976089
AAL_018,AAL_078,0.011336008269881081,0.011569870594269584,-0.00023386232438850352
AAL_054,AAL_053,0.012983752969795695,0.012750576985144882,0.00023317598465081267
AAL_069,AAL_058,0.012838417875110848,0.012605523251496237,0.00023289462361461045
AAL_068,AAL_025,0.011382474090394556,0.011149727272576937,0.00023274681781761987
AAL_035,AAL_078,0.01237578130661486,0.012143061047988405,0.00023272025862645582
AAL_090,AAL_038,0.010934035293757915,0.011165604443652163,-0.00023156914989424723
AAL_071,AAL_072,0.01298602116214605,0.012755085966057577,0.0002309351960884734
AAL_036,AAL_022,0.012267917993629718,0.012037518043671884,0.0002303999499578338
AAL_086,AAL_012,0.011401011837391645,0.01163083530278419,-0.00022982346539254447
AAL_077,AAL_071,0.011700011825618835,0.0114702824179647,0.00022972940765413584
AAL_078,AAL_005,0.011356448915858682,0.011127057704824963,0.00022939121103371894
AAL_064,AAL_063,0.012959966083797507,0.012730576352172394,0.0002293897316251129
AAL_088,AAL_040,0.011734545191065369,0.01196245735663708,-0.0002279121655717111
AAL_078,AAL_026,0.01156868527118021,0.011341387008504004,0.00022729826267620622
AAL_052,AAL_054,0.012800913534931138,0.012574274603637957,0.00022663893129318095
AAL_054,AAL_052,0.013096920980745528,0.012871843034738938,0.00022507794600658965
AAL_036,AAL_074,0.011646495564864615,0.0114240573081315,0.00022243825673311408
AAL_068,AAL_088,0.011116885964193532,0.010894975077277673,0.00022191088691585897
AAL_085,AAL_037,0.010899112750895513,0.011120916499060673,-0.00022180374816515962
AAL_050,AAL_044,0.01284164258549547,0.013063313739915048,-0.0002216711544195775
AAL_069,AAL_070,0.013386602298571514,0.013164946326417456,0.00022165597215405806
AAL_010,AAL_025,0.011573191467497466,0.011794485477615083,-0.00022129401011761717
AAL_036,AAL_021,0.012207046531252244,0.011986006862453876,0.00022103966879836838
AAL_023,AAL_028,0.012432594759724079,0.012211654788211321,0.00022093997151275725
AAL_082,AAL_077,0.010728329716600541,0.01094924512483346,-0.0002209154082329183
AAL_086,AAL_074,0.01090653114912347,0.011126764141781159,-0.00022023299265768945
AAL_055,AAL_089,0.011344823870871566,0.01156391151406555,-0.00021908764319398394
AAL_068,AAL_028,0.011254721452505926,0.011036116833204667,0.00021860461930125856
AAL_052,AAL_090,0.01158263336102932,0.011364338136100148,0.00021829522492917107
AAL_088,AAL_075,0.01096244991167934,0.011179516265265846,-0.0002170663535865057
AAL_058,AAL_069,0.012089745527626867,0.011873524411865706,0.00021622111576116015
AAL_069,AAL_001,0.012073711824452138,0.011858149889218747,0.00021556193523339026
AAL_052,AAL_053,0.012459436127056297,0.012243959992643326,0.00021547613441297124
AAL_079,AAL_076,0.011481168880883573,0.01169464023779181,-0.00021347135690823714
AAL_088,AAL_016,0.011218899767447868,0.01143088585999852,-0.00021198609255065198
AAL_054,AAL_070,0.011186247966132866,0.010974280134065276,0.00021196783206759058
AAL_036,AAL_071,0.011932308709997142,0.011720412933075842,0.0002118957769213
AAL_058,AAL_070,0.011940578918139905,0.011728930964178543,0.00021164795396136186
AAL_023,AAL_088,0.011915531264156358,0.011703935779963918,0.0002115954841924398
AAL_088,AAL_012,0.010747622784115693,0.010958914825272175,-0.0002112920411564828
AAL_021,AAL_015,0.011263785577323446,0.011474742771359738,-0.0002109571940362917
AAL_082,AAL_076,0.010557358499425344,0.010767394022798863,-0.0002100355233735189
AAL_063,AAL_064,0.01368372986276244,0.013474039467647856,0.00020969039511458364
AAL_009,AAL_085,0.011184342705015825,0.010974758572728551,0.00020958413228727366
AAL_076,AAL_071,0.012554536464138545,0.012347098268919783,0.00020743819521876206
AAL_086,AAL_076,0.010799860006644048,0.011006924501682629,-0.00020706449503858117
AAL_086,AAL_037,0.011174818069045233,0.011380106395586549,-0.0002052883265413162
AAL_017,AAL_078,0.010724222645736657,0.010929227698011966,-0.0002050050522753085
AAL_054,AAL_062,0.011181330779949442,0.010976462084199152,0.0002048686957502894
AAL_053,AAL_062,0.01206971441483141,0.011866436081085696,0.0002032783337457128
AAL_088,AAL_041,0.011374557341058921,0.01157728475853616,-0.0002027274174772383
AAL_075,AAL_072,0.011363181747241408,0.01116049994550479,0.00020268180173661776
AAL_082,AAL_074,0.010857471223108662,0.011059883217010694,-0.00020241199390203142
AAL_090,AAL_088,0.011170602033440119,0.011373003970175316,-0.0002024019367351977
AAL_076,AAL_022,0.011541635828872776,0.011339432335742946,0.00020220349312983013
AAL_023,AAL_068,0.01166353846151923,0.01146137959811439,0.00020215886340483984
AAL_078,AAL_075,0.012215335604647158,0.012013363499406994,0.00020197210524016372
AAL_078,AAL_082,0.011447836354406726,0.011649640820107004,-0.00020180446570027856
AAL_076,AAL_021,0.011627444338738026,0.0114261496202008,0.00020129471853722568
AAL_057,AAL_078,0.010939903000099028,0.011139781787418403,-0.00019987878731937518
AAL_063,AAL_073,0.012548213319168387,0.012348810746970012,0.00019940257219837505
AAL_010,AAL_026,0.01130649135209238,0.011505206993714013,-0.0001987156416216329
AAL_037,AAL_085,0.0110345768989024,0.011233174854487403,-0.0001985979555850035
AAL_088,AAL_037,0.011356869079650212,0.011555261426968107,-0.0001983923473178953
AAL_024,AAL_028,0.012143957589824613,0.011945728480667986,0.0001982291091566276
AAL_077,AAL_076,0.011789339910953855,0.011591373351183038,0.0001979665597708173
AAL_078,AAL_006,0.011375562821188543,0.011177663023470353,0.00019789979771818976
AAL_078,AAL_038,0.012393026817669598,0.012195255644342148,0.00019777117332745071
AAL_068,AAL_006,0.011248160832219271,0.011050742981544055,0.0001974178506752161
AAL_058,AAL_078,0.010444707276984157,0.010641362460297775,-0.0001966551833136182
AAL_078,AAL_025,0.011385641277680157,0.011189705481933009,0.00019593579574714824
AAL_024,AAL_068,0.011844135016903408,0.01164847363720165,0.00019566137970175763
AAL_090,AAL_086,0.011212657605751585,0.011408174729376809,-0.00019551712362522386
AAL_014,AAL_026,0.010430020154812016,0.010625399025180204,-0.0001953788703681885
AAL_063,AAL_061,0.0128255187231315,0.012630357973222105,0.00019516074990939478
AAL_074,AAL_072,0.011828500220281446,0.011633790553392608,0.0001947096668888388
AAL_014,AAL_088,0.010588427864285743,0.010782874605292569,-0.00019444674100682624
