Source,Target,SourceIndex,TargetIndex,ABIDE_I_Hedges_g,ABIDE_II_Hedges_g,ABIDE_I_AbsHedges_g,ABIDE_II_AbsHedges_g,MeanAbsHedges_g,ABIDE_I_QValue,ABIDE_II_QValue,ABIDE_I_Rank,ABIDE_II_Rank,SameDirection,Replicated,ReplicationClass,ReplicatedRank
ROI_001,ROI_002,0,1,-0.0755218958431294,-0.24290061159029086,0.0755218958431294,0.24290061159029086,0.15921125371671013,0.524188561089727,0.0035559379143775675,4046,363,True,False,not_replicated,
ROI_001,ROI_003,0,2,0.01763107299653662,0.017943939646176556,0.01763107299653662,0.017943939646176556,0.01778750632135659,0.9063041382512028,0.8693551648918928,7025,7178,True,False,not_replicated,
ROI_001,ROI_004,0,3,0.05652132833764368,0.13431849616851377,0.05652132833764368,0.13431849616851377,0.09541991225307872,0.6526308212055255,0.11813840346648906,4966,2423,True,False,not_replicated,
ROI_001,ROI_005,0,4,0.008330945774586977,0.06099730179590297,0.008330945774586977,0.06099730179590297,0.03466412378524497,0.9583137512543578,0.5266945815306341,7544,5199,True,False,not_replicated,
ROI_001,ROI_006,0,5,0.0792306998908896,0.05540253201565053,0.0792306998908896,0.05540253201565053,0.06731661595327007,0.502504969442133,0.5657350673672922,3884,5473,True,False,not_replicated,
ROI_001,ROI_007,0,6,-0.046475218694660446,0.007059455818278149,0.046475218694660446,0.007059455818278149,0.0267673372564693,0.7183940536364829,0.9498184706419464,5496,7691,False,False,not_replicated,
ROI_001,ROI_008,0,7,0.005744701790795625,0.07848434290075944,0.005744701790795625,0.07848434290075944,0.04211452234577753,0.9727192255991481,0.3968456920415825,7678,4441,True,False,not_replicated,
ROI_001,ROI_009,0,8,-0.053971029265416484,0.003235077362208228,0.053971029265416484,0.003235077362208228,0.028603053313812354,0.6738479043712055,0.9755313003600398,5087,7880,False,False,not_replicated,
ROI_001,ROI_010,0,9,-0.005137562133244422,0.07327149444599755,0.005137562133244422,0.07327149444599755,0.03920452828962099,0.9767383196517148,0.4334478788892106,7707,4679,False,False,not_replicated,
ROI_001,ROI_011,0,10,-0.08487837700573186,-0.17114950958139752,0.08487837700573186,0.17114950958139752,0.1280139432935647,0.4627466218588947,0.04192943160630601,3638,1434,True,False,not_replicated,
ROI_001,ROI_012,0,11,0.06725401478273386,-0.11442635943184684,0.06725401478273386,0.11442635943184684,0.09084018710729036,0.58188587222766,0.1929968672699167,4429,3053,False,False,not_replicated,
ROI_001,ROI_013,0,12,-0.1485928623939756,-0.1757567538468625,0.1485928623939756,0.1757567538468625,0.16217480812041907,0.15380801750409945,0.03599879092829593,1519,1321,True,False,not_replicated,
ROI_001,ROI_014,0,13,-0.0609348802580679,-0.07576508910245415,0.0609348802580679,0.07576508910245415,0.06834998468026102,0.6255201814123456,0.41558117197935757,4745,4557,True,False,not_replicated,
ROI_001,ROI_015,0,14,-0.05806786632957763,-0.03731512517529223,0.05806786632957763,0.03731512517529223,0.047691495752434934,0.642640954233172,0.7104070427335286,4894,6307,True,False,not_replicated,
ROI_001,ROI_016,0,15,0.07954575965517331,0.10497717761175415,0.07954575965517331,0.10497717761175415,0.09226146863346374,0.5034319226131182,0.2424509164659868,3872,3370,True,False,not_replicated,
ROI_001,ROI_017,0,16,0.021947739263932935,-0.09417917998147811,0.021947739263932935,0.09417917998147811,0.058063459622705524,0.8821140302224177,0.2943878469763186,6777,3793,False,False,not_replicated,
ROI_001,ROI_018,0,17,-0.028096555116687624,-0.13465783907217913,0.028096555116687624,0.13465783907217913,0.08137719709443338,0.8409508280864874,0.11704491358475168,6482,2413,True,False,not_replicated,
ROI_001,ROI_019,0,18,-0.2147649692831156,-0.07803944244355873,0.2147649692831156,0.07803944244355873,0.14640220586333716,0.023906527549355062,0.4013941463297562,521,4464,True,False,not_replicated,
ROI_001,ROI_020,0,19,-0.11550348832694922,-0.07100981139029258,0.11550348832694922,0.07100981139029258,0.0932566498586209,0.2880273103813595,0.44665332722449663,2464,4788,True,False,not_replicated,
ROI_001,ROI_021,0,20,0.12867641048534267,0.2152538913706969,0.12867641048534267,0.2152538913706969,0.17196515092801978,0.22993612276153622,0.0103101833577954,2062,619,True,False,not_replicated,
ROI_001,ROI_022,0,21,0.14463204937068774,0.12435733147551861,0.14463204937068774,0.12435733147551861,0.1344946904231032,0.16634164569055063,0.15454686596694786,1615,2726,True,False,not_replicated,
ROI_001,ROI_023,0,22,0.019303524386270143,0.11358462363075623,0.019303524386270143,0.11358462363075623,0.06644407400851318,0.8974613411658632,0.197384611523305,6926,3086,True,False,not_replicated,
ROI_001,ROI_024,0,23,0.13588985687099658,0.13195380592140762,0.13588985687099658,0.13195380592140762,0.13392183139620212,0.19963304890511274,0.12562140431695273,1839,2496,True,False,not_replicated,
ROI_001,ROI_025,0,24,0.07529786568112773,0.08587159636283419,0.07529786568112773,0.08587159636283419,0.08058473102198097,0.5268117495529533,0.3493858733023893,4057,4116,True,False,not_replicated,
